OID_,NAME10,Cnt_NAME10,First_id,Last_id
,Block 2060,181,AKN2753,AYV0693
,Block 2061,6,ATS2930,AXG5046
,Block 2062,53,ATZ5004,AZJ6067
,Block 2063,119,AKN2732,AXG5777
,Block 2064,175,ALU5902,AYV0691
,Block 2065,58,AKN2857,AYV0354
,Block 2066,39,ATS2908,AXG5777
,Block 2067,87,AKN2702,AYV0354
,Block 2068,18,ATS2903,AXG5047
,Block 2069,53,ATS2925,AYU6645
,Block 2070,54,AKN2760,AXS3727
,Block 2071,129,AKN2699,AYV0692
,Block 2072,86,AKN2916,AYV0691
,Block 2073,122,AKN2663,AYV0691
,Block 2074,80,ALU5956,AYU6641
,Block 2075,436,AKL4099,AYV0692
,Block 2076,47,AKN2620,AXG5757
,Block 2077,15,ATS2911,AXG5766
,Block 2078,47,AKN2892,AYU6646
,Block 2079,8,ATZ5003,AXG5644
,Block 2080,62,ATS2904,AYU6648
,Block 2081,21,ATZ5018,AXG5770
,Block 2082,9,AKN2876,AXG5744
,Block 2083,62,ATS2916,AYU6642
,Block 2084,76,AKL4099,AXG5673
,Block 2085,70,AKN2760,AYV0691
,Block 2086,52,AKN2744,AYU6643
,Block 2087,151,AKN2709,AYU6643
,Block 2088,30,ATZ5037,AYV0689
,Block 2089,24,ALU5915,AXG5477
,Block 2090,17,ATS2936,AZJ6068
,Block 2091,9,ATZ5142,AXG5050
,Block 2092,5,ATS2926,AXG4860
,Block 2094,34,AKN2629,AYU6642
,Block 2095,59,AKN2807,AYU6645
,Block 2096,13,ATS2932,AXG5675
,Block 2100,1,AWY0085,AWY0085
,Block 2110,1,AXG5750,AXG5750
,Block 2115,1,AUK2240,AUK2240
,Block 2120,2,ATS2919,AXG4873
,Block 3000,4132,AKL4099,AZJ6068
,Block 3001,2563,AKL4099,AZJ6068
,Block 3002,2780,AKL4099,AZJ6067
,Block 3003,4028,AKN2620,AZJ6068
,Block 3004,4240,AKN2620,AZJ6068
,Block 3005,2988,AKL4099,AZJ6068
,Block 3006,3118,AKL4099,AZJ6067
,Block 3007,2751,AKN2620,AZJ6067
,Block 3008,3612,AKL4099,AZJ6068
,Block 3009,2916,AKL4099,AZJ6067
,Block 3010,3367,AKL4099,AZJ6068
,Block 3011,2131,AKL4099,AZJ6068
,Block 3012,2900,AKL4099,AYV0692
,Block 3013,2189,AKL4099,AYV0691
,Block 3014,2754,AKL4099,AZJ6068
,Block 3015,2005,AKL4099,AZJ6067
,Block 3016,1252,AKN2627,AYV0693
,Block 3017,1271,AKL4099,AZJ6067
,Block 3018,1911,AKL4099,AZJ6067
,Block 3019,1869,AKL4099,AZJ6067
,Block 3020,1688,AKN2629,AZJ6068
,Block 3021,1150,AKL4099,AZJ6067
,Block 3022,814,AKL4099,AZJ6068
,Block 3023,526,AKN2685,AYV0693
,Block 3024,1039,AKN2620,AYV0692
,Block 3025,905,AKN2663,AYV0691
,Block 3026,1816,AKL4099,AZJ6067
,Block 3027,738,AKL4099,AYV0693
,Block 3028,664,AKN2620,AZJ6068
,Block 3029,756,AKN2630,AYV0691
,Block 3030,464,AKN2630,AYV0692
,Block 3031,667,AKN2641,AZJ6067
,Block 3032,306,AKN2685,AYV0693
,Block 3033,223,AKN2641,AZJ6067
