OID_,NAME10,Cnt_NAME10,First_id,Last_id
,Block 2084,14,ATS2924,AXG5771
,Block 2085,26,ANK7361,AYU6642
,Block 2086,20,ATS2921,AXG5762
,Block 2087,16,ATS2934,AXG5764
,Block 2088,14,ATS2911,AXG5679
,Block 2089,12,AKN2663,AXG5783
,Block 2090,6,ATZ5074,AXG5047
,Block 2091,7,AKN2798,AXG5047
,Block 2092,10,ANK7414,AXG5750
,Block 2094,24,AKN2876,AYV0692
,Block 2095,23,ATS2914,AXG5761
,Block 2096,14,AKN2857,AXG5496
,Block 2097,17,ATS2915,AYV0690
,Block 2098,1,AWY0350,AWY0350
,Block 2099,4,ATZ5105,AXG4716
,Block 2100,20,AKN2760,AXG5778
,Block 2101,2,AKN2876,ATZ5109
,Block 2102,1,AXF4355,AXF4355
,Block 2103,6,AWL4646,AYU6640
,Block 2104,12,AKN2692,AXG5484
,Block 2105,3,AUK2224,AXG5056
,Block 2106,4,ATZ5128,AXF4358
,Block 2107,1,ATZ5041,ATZ5041
,Block 2108,4,AKN2685,AXG5766
,Block 2109,17,ATS2905,AYU6640
,Block 2110,6,AUK2210,AXG4864
,Block 2113,1,AXG4731,AXG4731
,Block 2114,1,AUK2239,AUK2239
,Block 2115,3,ATS2900,AXG5671
,Block 2117,3,ATZ5016,AXG5634
,Block 2118,1,AXG5495,AXG5495
,Block 2120,4,ATS2945,AXG5776
,Block 3000,6987,AKL4099,AZJ6068
,Block 3001,3137,AKN2620,AZJ6068
,Block 3002,3199,AKN2620,AZJ6068
,Block 3003,3284,AKN2643,AZJ6067
,Block 3004,3026,AKL4099,AZJ6068
,Block 3005,2980,AKL4099,AZJ6068
,Block 3006,3471,AKL4099,AZJ6068
,Block 3007,2610,AKL4099,AYV0693
,Block 3008,2584,AKL4099,AZJ6068
,Block 3009,2614,AKL4099,AZJ6068
,Block 3010,2820,AKL4099,AZJ6068
,Block 3011,2357,AKL4099,AZJ6068
,Block 3012,2639,AKN2629,AZJ6068
,Block 3013,3060,AKL4099,AYV0693
,Block 3014,2164,AKL4099,AZJ6067
,Block 3015,1687,AKL4099,AYV0692
,Block 3016,1708,AKL4099,AZJ6068
,Block 3017,2079,AKL4099,AZJ6067
,Block 3018,1628,AKN2620,AZJ6067
,Block 3019,1437,AKL4099,AZJ6067
,Block 3020,1482,AKL4099,AZJ6068
,Block 3021,1142,AKN2620,AZJ6068
,Block 3022,933,AKL4099,AYV0690
,Block 3023,1397,AKN2630,AYV0692
,Block 3024,765,AKN2629,AZJ6067
,Block 3025,880,AKN2620,AYV0693
,Block 3026,762,AKN2620,AYV0693
,Block 3027,702,AKN2629,AZJ6068
,Block 3028,436,AKN2629,AZJ6068
,Block 3029,767,AKN2630,AZJ6067
,Block 3030,1306,AKL4099,AYV0693
,Block 3031,477,AKN2641,AZJ6067
,Block 3032,279,AKN2692,AYV0354
,Block 3033,199,AKN2764,AXG5779
,Block 3034,126,AKN2646,AYU6646
,Block 3035,167,AKN2833,AYV0354
,Block 3036,115,AKN2620,AYU6640
,Block 3037,123,AKN2813,AYV0624
,Block 3038,146,AKN2732,AYV0624
,Block 3039,139,AKN2876,AXG5785
,Block 3040,58,ARY1540,AYU6646
,Block 3041,33,ANK7407,AYU6647
,Block 3042,243,AKN2627,AZJ6067
,Block 3043,76,AKN2629,AYV0693
,Block 3044,143,AKN2627,AYV0692
,Block 3045,61,AKN2813,AXG5775
,Block 3046,59,AKN2692,AYU6646
,Block 3047,182,ALU5902,AYU6645
,Block 3048,74,AKL4099,AXS3727
,Block 3049,75,AKN2793,AYV0688
,Block 3050,21,ATZ5004,AXG5778
,Block 3051,35,ANK7397,AXG5742
,Block 3052,15,ATS2913,AXG5757
,Block 3053,143,AKN2629,AYV0691
,Block 3054,105,AKN2813,AYU6646
,Block 3055,66,AKN2760,AYU6646
,Block 3056,276,AKN2641,AZJ6068
,Block 3057,48,AKN2753,AYV0691
,Block 3058,248,AKN2643,AYV0624
,Block 3059,119,AKN2732,AYU6648
,Block 3060,16,AKN2873,AYU6642
,Block 3061,11,ATS2938,AYU6647
,Block 3062,8,ATZ5008,AXG5600
,Block 3063,20,AKN2898,AXG5681
,Block 3064,102,AKN2646,AXG5776
,Block 3065,6,ATS2947,AXG4867
,Block 3066,59,AKN2702,AXG5761
,Block 3067,453,AKN2630,AYU6648
,Block 3068,311,AKN2646,AYV0691
,Block 3069,113,AKN2646,AYV0691
,Block 3070,9,AKN2807,AXG5635
,Block 3071,8,ATS2914,AXG5653
,Block 3072,55,ALU5906,AXG5769
,Block 3073,328,AKN2629,AYV0624
,Block 3074,11,AKN2641,AXG5480
,Block 3075,228,AKL4099,AYV0692
,Block 3076,32,ATZ5055,AXG5754
,Block 3077,127,AKN2709,AYV0688
,Block 3078,110,AKN2789,AXS3727
,Block 3079,242,AKL4099,AYV0691
,Block 3080,166,AKN2709,AYU6646
,Block 3081,21,ATS2915,AXG5773
,Block 3082,18,ATS2947,AXG5765
,Block 3083,42,AKN2629,AXG5780
,Block 3084,3,ATZ5057,AXG5781
,Block 3085,25,ATS2944,AXG5646
,Block 3086,50,ALU5926,AXG5770
,Block 3087,298,AKN2620,AZJ6068
,Block 3088,10,ATS2911,AXG5654
,Block 3089,42,AKN2620,AXG5766
,Block 3090,3,ATS2903,ATS2941
,Block 3091,14,ATS2936,AXG5759
,Block 3092,9,AKN2744,AXG5775
,Block 3093,7,AKN2689,AXG5637
,Block 3094,16,AKN2916,AXG5645
,Block 3095,1,AUK2239,AUK2239
,Block 3096,6,ATZ5062,AXG5489
,Block 3097,2,AUK2239,AWY0072
,Block 3099,3,AXF4347,AXG5643
,Block 3100,24,ATS2915,AXG5784
,Block 3101,56,AKN2641,AXG5774
,Block 3102,4,ATZ5019,AXG5636
,Block 3103,15,ATS2912,AXG5768
,Block 3104,6,ATS2930,AXG5772
,Block 3105,7,ATE9154,AXG4870
,Block 3106,49,AKN2760,AXG5680
,Block 3107,3,AWX9208,AXG5779
,Block 3108,8,ATZ5050,AXG5781
,Block 3109,138,ANK7354,AZJ6067
,Block 3110,14,ATS2921,AXG5673
,Block 3111,2,AUK2215,AXG5476
,Block 3112,17,AKN2709,AYU6640
,Block 3113,8,ATS2935,AXG5665
,Block 3115,8,ATS2900,AXG4899
,Block 3116,4,ATS2942,AWY0092
,Block 3117,15,AKN2627,AXG5760
,Block 3118,11,AKN2697,AXG5758
,Block 3119,34,AKN2663,AZJ6068
,Block 3120,6,ATZ5137,AXG5758
,Block 3121,39,AKN2753,AXG5753
,Block 3122,4,AKN2793,AWY0360
,Block 3123,2,ATZ5007,AXF4362
,Block 3124,1,AXG4724,AXG4724
,Block 3125,2,AXG4862,AXG4897
,Block 3126,72,AKN2916,AYU6642
,Block 3127,177,AKN2620,AYU6648
,Block 3129,51,ANK7404,AXG5773
,Block 3130,6,ATS2945,AWY0360
,Block 3131,2,AUK2208,AXG5605
,Block 3132,1,ATZ5131,ATZ5131
,Block 3133,4,ATZ5051,AWB6194
,Block 3140,74,AKN2630,AYU6646
,Block 3142,2,ATS2901,AWY0073
,Block 3143,1,AXG4872,AXG4872
,Block 3145,2,AUK2230,AXG5615
,Block 3146,1,AXG4702,AXG4702
,Block 3147,5,ATZ5041,AXG5618
,Block 3148,3,AUK2215,AWY0357
,Block 3150,369,AKN2620,AZJ6068
,Block 3152,378,AKN2728,AYV0690
,Block 3153,18,AKN2753,AXG5666
,Block 3154,26,ATS2900,AXG5661
,Block 3155,11,AKN2663,AXG5029
,Block 3156,64,ANK7404,AXG5783
,Block 3157,78,ANK7383,AYV0691
,Block 3158,1,AXG5761,AXG5761
,Block 3159,2,AWY0047,AXG4774
,Block 3160,5,ATS2913,AXG5636
,Block 3161,358,AKN2630,AZJ6068
,Block 3162,158,AKL4099,AZJ6068
,Block 3163,26,AKN2689,AXG5675
,Block 3164,15,ATZ5031,AXG5488
,Block 3165,2,ATZ5142,AXG4737
,Block 3166,1,ATZ5016,ATZ5016
,Block 3167,222,AKN2857,AYV0691
,Block 3168,8,ATZ5031,AXG5680
,Block 3169,204,AKN2620,AYU6644
,Block 3170,12,ATZ5068,AXG5678
,Block 3171,7,ATZ5013,AYU6647
,Block 3172,22,ATS2900,AYU6644
,Block 3173,30,ALU5902,AYV0692
,Block 3174,72,AKN2764,AXG5782
,Block 3175,9,AKN2663,AXG5762
,Block 3176,2,ATZ5038,ATZ5656
,Block 3177,8,ATS2913,AXG5747
,Block 3178,4,ATZ5007,AXG5666
,Block 3179,34,AKN2835,AYU6641
,Block 3180,5,AWY0337,AXG5736
,Block 3181,29,AKN2793,AXG5675
,Block 3182,3,AWL4647,AXG4859
,Block 3183,2,AWY0052,AXG4857
,Block 3184,14,ATS2907,AXG5635
,Block 3185,68,AKN2764,AXS3725
,Block 3186,15,AKN2760,AXG4880
,Block 3187,93,ALU5985,AXG5774
,Block 3188,35,ALU5926,AYU6643
,Block 3189,101,AKN2697,AXG5766
,Block 3190,130,AKN2697,AYU6642
,Block 3191,72,AKN2702,AYU6642
,Block 3192,2,AUK2219,AXG5779
,Block 3193,45,ATS2917,AXS3725
,Block 3194,6,ATS2918,AXG5782
,Block 3195,5,ATS2910,AXG5775
,Block 3196,5,ATZ5078,AXG4772
,Block 3197,146,AKN2673,AZJ6067
,Block 3198,36,AKN2685,AYV0691
,Block 3199,22,ATS2906,AXG5749
,Block 3200,46,ANK7354,AXG5770
,Block 3201,9,AKN2778,AXG5735
,Block 3202,43,AKN2744,AYU6641
,Block 3203,39,ATS2934,AYV0354
,Block 3204,37,APT6690,AXG5753
,Block 3205,35,AKN2685,AZJ6067
,Block 3206,108,AKN2732,AYV0692
,Block 3208,2,AXG4868,AXG5488
,Block 3209,11,AKL4099,AYU6646
,Block 3210,36,ATS2904,AYU6644
,Block 3211,2,AWY0326,AZJ6068
,Block 3212,13,ATS2939,AXG5769
,Block 3213,1,AXG5638,AXG5638
,Block 3214,4,ATZ5078,AXG5615
,Block 3215,23,AKN2916,AXS3726
,Block 3216,152,AKN2627,AYU6643
,Block 3217,11,AKN2744,AXG5659
,Block 3218,1,AXG4769,AXG4769
,Block 3219,28,ATS2924,AXS3727
,Block 3220,8,ATZ5097,AXG5773
,Block 3221,11,ATZ5002,AYU6646
,Block 3222,8,AKN2643,AXG4863
,Block 3223,13,AKN2728,AXG5664
,Block 3224,23,ALU5951,AYU6641
,Block 3225,17,ATS2924,AXG5774
,Block 4000,2587,AKL4099,AYV0693
,Block 4001,1861,AKN2627,AZJ6067
,Block 4002,1661,AKL4099,AZJ6067
,Block 4003,2562,AKL4099,AZJ6068
,Block 4004,1891,AKL4099,AYV0693
,Block 4005,1882,AKL4099,AZJ6067
,Block 4006,1374,AKL4099,AYV0693
,Block 4007,1341,AKL4099,AYV0693
,Block 4008,1481,AKL4099,AYV0693
,Block 4009,1365,AKL4099,AZJ6067
,Block 4010,1459,AKL4099,AZJ6068
,Block 4011,1188,AKL4099,AZJ6067
,Block 4012,1181,AKL4099,AZJ6068
,Block 4013,1016,AKN2630,AZJ6068
,Block 4014,1039,AKN2620,AYV0692
,Block 4015,1369,AKL4099,AZJ6067
,Block 4016,787,AKN2620,AZJ6068
,Block 4017,1118,AKN2627,AZJ6067
,Block 4018,975,AKN2620,AYV0693
,Block 4019,648,AKN2630,AZJ6067
,Block 4020,515,AKN2646,AYV0691
,Block 4021,344,AKN2630,AYV0691
,Block 4022,364,AKN2630,AZJ6067
,Block 4023,315,AKN2630,AYV0689
,Block 4024,489,AKL4099,AZJ6067
,Block 4025,306,AKN2697,AZJ6067
,Block 4026,161,ATS2904,AYV0693
,Block 4027,182,AKN2643,AZJ6068
,Block 4028,294,AKN2620,AXS3725
,Block 4029,260,AKN2728,AYV0689
,Block 4030,174,AKN2689,AZJ6068
,Block 4031,79,ALU5911,AYU6645
,Block 4032,106,AKN2646,AYV0693
,Block 4033,195,AKN2627,AYU6646
,Block 4034,58,AKN2689,AXG5782
,Block 4035,103,AKN2630,AXS3725
,Block 4036,31,ALU5961,AYV0691
,Block 4037,10,ATS2906,AXG5644
,Block 4038,228,AKN2728,AZJ6067
,Block 4039,123,AKN2702,AXS3726
,Block 4040,21,ATS2900,AXG5747
,Block 4041,7,ATS2916,AXG5766
,Block 4042,2,ATZ5108,AWY0369
,Block 4043,516,AKL4099,AZJ6067
,Block 4044,3,ATS2917,AXG5644
,Block 4045,29,AKN2728,AYU6647
,Block 4046,90,AKN2692,AYV0693
,Block 4047,45,AKN2760,AYU6647
,Block 4048,13,ALU5911,AYU6645
,Block 4049,1,ATZ5064,ATZ5064
,Block 4050,105,ATE9154,AYU6648
,Block 4051,40,AKN2641,AYV0688
,Block 4052,53,AKN2857,AXG5784
,Block 4053,54,ALU5902,AYV0624
,Block 4054,9,ATZ5064,AXG5672
,Block 4055,1,AXG5668,AXG5668
,Block 4056,9,ATZ5074,AXG5676
,Block 4057,22,ALU5915,AXG5776
,Block 4058,2,ATS2914,AXF4342
,Block 4059,1,AWY0079,AWY0079
,Block 4060,1,ATZ5062,ATZ5062
,Block 4061,6,ATZ5070,AXG5758
,Block 4062,62,ALU5915,AYV0692
,Block 4064,28,AKN2697,AYU6642
,Block 4066,1,AXG4765,AXG4765
,Block 4067,1,AXG4789,AXG4789
,Block 4071,1,AXG4732,AXG4732
,Block 4074,1,AXG4698,AXG4698
,Block 4075,1,AXG5662,AXG5662
,Block 4077,2,ATZ5068,AWY0077
,Block 4078,35,ALU5906,AYU6648
,Block 4079,4,AXF4358,AXG5641
,Block 4081,37,AKN2846,AXG5735
,Block 4082,54,AKN2627,AXG5758
,Block 4083,1,APT6437,APT6437
,Block 4084,9,ATZ5079,AXG5736
,Block 4085,13,ALU5930,AXG5752
,Block 4086,7,ATZ5048,AXG4790
,Block 4087,21,ATS2912,AXG5782
,Block 4088,5,ATS2940,AXG5680
,Block 4089,22,AKN2732,AXG5667
,Block 4090,4,ANK7383,AXF4342
,Block 4091,4,ATS2947,AXG5673
,Block 4092,7,AKN2728,AWY0327
,Block 4093,9,ATZ5002,AYU6640
,Block 4094,37,AKN2641,AZJ6067
,Block 4095,91,ALU5926,AXG5776
,Block 4103,2,AKN2793,ATZ5126
,Block 4106,49,AKN2892,AXS3727
,Block 4107,84,AKN2732,AYU6647
,Block 5000,1455,AKN2627,AYV0692
,Block 5001,929,AKL4099,AYU6648
,Block 5002,760,AKN2620,AYV0691
,Block 5003,599,AKN2620,AYV0692
,Block 5004,798,AKL4099,AZJ6068
,Block 5005,682,AKN2630,AZJ6068
,Block 5006,661,AKN2641,AYV0693
,Block 5007,552,AKL4099,AZJ6067
,Block 5008,587,AKN2641,AZJ6068
,Block 5009,977,AKL4099,AZJ6068
,Block 5010,357,AKN2620,AYV0354
,Block 5011,269,AKN2630,AYV0688
,Block 5012,168,AKN2620,AYV0693
,Block 5013,163,AKN2697,AYV0624
,Block 5014,344,AKL4099,AYV0691
,Block 5015,234,AKN2744,AZJ6068
,Block 5016,216,AKN2702,AYU6646
,Block 5017,139,AKN2793,AXG5785
,Block 5018,193,AKN2692,AYV0690
,Block 5019,139,AKN2620,AZJ6067
,Block 5020,175,AKN2833,AYV0691
,Block 5021,218,AKN2835,AYV0688
,Block 5022,142,AKN2689,AYV0693
,Block 5023,96,ANK7397,AYU6647
,Block 5024,70,ALU5985,AYV0691
,Block 5025,128,AKN2627,AYV0688
,Block 5026,47,APT6437,AXS3725
,Block 5027,21,AKN2732,AXG5752
,Block 5028,16,AKN2846,AXG5735
,Block 5029,20,ATS2907,AXG5741
,Block 5030,44,ALU5926,AXG5774
,Block 5031,10,AKN2630,AXG5745
,Block 5032,3,AXG5022,AXG5670
,Block 5033,8,ATS2908,AXG5047
,Block 5034,15,AKN2916,AXG5778
,Block 5035,10,ATZ5011,AXG5648
,Block 5036,5,ATZ5017,AXG5669
,Block 5037,18,ATS2929,AXG5781
,Block 5038,27,AKN2673,AXG5661
,Block 5039,16,ALU5985,AXG5747
,Block 5040,11,ATZ5019,AXG5743
,Block 5041,7,AUK2207,AXG5773
,Block 5042,8,ALU5926,AXG5050
,Block 5043,17,ALU5961,AYU6645
,Block 5044,4,ATZ5031,AXG5031
,Block 5046,9,ATS2934,AXG5668
,Block 5047,4,ALU5906,AXG5643
,Block 5050,1,ATZ5083,ATZ5083
,Block 5051,6,ATZ5661,AXG5677
,Block 5052,6,ATS2900,AXF4359
,Block 6000,113,AKN2673,AYV0688
,Block 6001,76,ALU5961,AYV0688
,Block 6002,101,ALU5961,AYV0692
,Block 6003,51,AKN2835,AYU6642
,Block 6004,67,AKN2646,AYU6642
,Block 6005,104,AKN2630,AYV0624
,Block 6006,51,ALU5930,AYV0689
,Block 6007,112,AKN2627,AZJ6067
,Block 6008,161,AKN2630,AYV0354
,Block 6009,108,AKL4099,AXG5769
,Block 6010,72,AKN2630,AXG5771
,Block 6011,93,AKN2643,AYU6641
,Block 6012,33,AKN2627,AXG5775
,Block 6013,37,AKN2709,AYV0692
,Block 6014,32,AKN2807,AXG5749
,Block 6015,24,ATS2900,AXG5639
,Block 6016,20,AKN2627,AXG5640
,Block 6017,32,ANK7354,AXG5750
,Block 6018,91,ATS2901,AYU6640
,Block 6019,70,AKN2798,AXG5765
,Block 6020,17,AKN2641,AXG5768
,Block 6021,13,ALU5985,AXG5735
,Block 6022,8,ATS2904,AXG5055
,Block 6023,47,AKN2620,AXG5761
,Block 6024,14,ALU5926,AXG5680
,Block 6025,1,AUK2235,AUK2235
,Block 6026,4,AUK2204,AYV0692
,Block 6027,10,ATS2926,AXG5667
,Block 6028,19,ATS2923,AYU6643
,Block 6029,4,APT6690,AXG4778
,Block 6030,2,AUK2241,AXG5654
,Block 6031,2,AXG4737,AXG4738
,Block 6032,1,AWY0366,AWY0366
,Block 6033,2,ATS2919,AUK2216
,Block 6034,3,ATS2947,AXG4898
,Block 6036,4,ATS2930,ATZ5138
,Block 6039,2,AKN2789,ATZ5037
,Block 6040,1,AUK2206,AUK2206
,Block 6041,5,AUK2241,AXG5757
,Block 6042,2,ATZ5134,AXF4353
,Block 6044,2,APT6690,AXG5046
,Block 6046,8,ATZ5042,AXG5738
,Block 7000,3,ATZ5029,AXG5657
,Block 7001,11,ATS2905,AXG5754
,Block 7003,2,AUK2225,AXG5754
,Block 7004,2,AWY0346,AXG5745
,Block 7005,2,AXG4873,AXG5608
,Block 7006,2,ATZ5008,AXG4792
,Block 7008,2,AWY0046,AXG4880
,Block 7009,1,AXG4861,AXG4861
,Block 7010,5,ATZ5040,AXG4869
,Block 7011,1,AWY0078,AWY0078
,Block 7012,2,AXG4791,AXG5499
,Block 7013,4,AWY0344,AXG5618
,Block 7014,5,ATZ5021,AWX9244
,Block 7015,10,ATZ5062,AXG5745
,Block 7016,13,ANK7397,AXG5483
,Block 7017,12,ATS2911,AYU6644
,Block 7018,18,ANK7354,AXG5062
,Block 7019,18,ANK7383,AXG5616
,Block 7020,2,ALU5930,AXG4735
